time,open,high,low,close,tick_volume,ema_220,slope_20,atr_14,slope_normalized,bb_upper,bb_middle,bb_lower,rsi_14,donchian_upper,donchian_lower,HourOfDay,DayOfWeek,ATR_normalized,strategy,direction,y
2021-10-06 07:00:00+00:00,1.15774,1.15794,1.15558,1.15558,2351,1.1641663985233521,-4.938574542177054e-05,0.0009371908361128538,-0.052695506100556504,1.161751930208644,1.1593504166666666,1.1569489031246891,21.70430611065899,1.16128,1.15753,7,2,0.8973810831887171,trend,short,1
2021-10-06 08:00:00+00:00,1.15558,1.15601,1.15506,1.15517,1917,1.1640849831521,-5.111076130029923e-05,0.0009381057763905076,-0.054482940609272223,1.162216244688382,1.1591558333333334,1.1560954219782849,20.408882915830333,1.16128,1.15558,8,2,0.8979845986353723,trend,short,1
2021-10-06 09:00:00+00:00,1.15517,1.15537,1.15409,1.15417,1813,1.1639952547977825,-5.305546029304997e-05,0.0009625267923626105,-0.05512102178768496,1.1626702567550977,1.1589004166666668,1.1551305765782358,17.64297119496368,1.16128,1.15506,9,2,0.9211268265391394,trend,short,0
2021-10-06 10:00:00+00:00,1.15417,1.15417,1.15288,1.15368,1765,1.1639019040756307,-5.506400816369661e-05,0.0009859177357652823,-0.055850509800348815,1.1631196723779316,1.1586625,1.1542053276220683,16.46543806828069,1.16128,1.15409,10,2,0.9431728795072907,trend,short,0
2021-10-08 05:00:00+00:00,1.15478,1.15525,1.1541,1.15414,744,1.161157202883108,-5.6276997484061564e-05,0.0007837004295837576,-0.07180932325627491,1.1570125581245487,1.15567625,1.1543399418754512,34.33413527417402,1.15717,1.1547,5,4,0.8500847718709491,trend,short,0
2021-10-29 15:00:00+00:00,1.15708,1.1577,1.15454,1.15494,3420,1.162261132913614,2.929677288281418e-05,0.0017233488043796356,0.016999909019207705,1.1738118097078178,1.1658362500000001,1.1578606902921824,19.179295696908824,1.1691799999999999,1.1565,15,4,1.5625695693187929,range,long,0
2021-10-29 16:00:00+00:00,1.15494,1.15514,1.15348,1.15381,2097,1.162184652072767,2.251580661237762e-05,0.00171882388978109,0.013099542510574042,1.174889738579435,1.16525375,1.155617761420565,17.78780400411698,1.16896,1.15454,16,4,1.5528343617967777,range,long,0
2021-11-11 07:00:00+00:00,1.14796,1.14819,1.14598,1.14598,1543,1.156960634850729,-7.46383663723038e-05,0.0013727502327655805,-0.054371410465496914,1.1594305906841382,1.1507583333333333,1.1420860759825284,25.038167322338595,1.15819,1.14644,7,3,1.1648905010752242,trend,short,1
2021-11-11 17:00:00+00:00,1.14628,1.1466,1.1449799999999999,1.1451,903,1.1560416480596292,-9.026120910941016e-05,0.001444574241379378,-0.06248291470518165,1.1496162730789468,1.14724875,1.144881226921053,32.07584051431637,1.15191,1.14536,17,3,1.1770691243243991,trend,short,1
2021-11-11 18:00:00+00:00,1.14508,1.14523,1.1446,1.14484,756,1.155940275678999,-9.082898097267922e-05,0.0013863903669951302,-0.06551472307871155,1.149318277770206,1.1470408333333333,1.1447633888964606,31.20823957501149,1.15152,1.1449799999999999,18,3,1.127662112310781,trend,short,1
