Ticket,slope_normalized,rsi_14,HourOfDay,DayOfWeek,ATR_normalized,dist_ema_atr,bb_position,is_trend,is_long
186,-0.004176727961748838,72.49258422851562,9.0,2.0,0.6791732907295227,10.155710220336914,1.1530756950378418,0.0,0.0
188,-0.004176727961748838,75.1878890991211,10.0,2.0,0.7595176696777344,10.03160572052002,1.1288344860076904,0.0,0.0
190,-0.0018356031505391002,75.7169189453125,12.0,2.0,0.7277001738548279,11.114167213439941,1.0268479585647583,0.0,0.0
192,-0.0018356031505391002,76.06702423095703,14.0,2.0,0.768837571144104,10.453640937805176,0.9121912121772766,0.0,0.0
194,0.0009633202571421862,80.1617202758789,15.0,2.0,0.852173388004303,10.902063369750977,0.9803317189216614,0.0,0.0
196,0.0009633202571421862,82.89007568359375,17.0,2.0,1.0586779117584229,9.630261421203613,0.9414888620376587,0.0,0.0
198,0.010932080447673798,71.81014251708984,16.0,3.0,1.037710428237915,6.4655656814575195,0.9383730888366699,0.0,0.0
200,0.018552614375948906,78.04322814941406,17.0,4.0,0.9815909266471863,13.348708152770996,1.0533639192581177,0.0,0.0
202,0.018553264439105988,66.3946533203125,8.0,1.0,1.2397234439849854,0.45300939679145813,0.9313308000564575,0.0,0.0
204,0.018553264439105988,73.6567153930664,9.0,1.0,1.2332371473312378,1.5269545316696167,1.077258825302124,0.0,0.0
206,0.004449013154953718,70.49340057373047,17.0,3.0,1.1078150272369385,2.83068585395813,1.1283695697784424,0.0,0.0
208,0.010832849889993668,73.13973999023438,17.0,4.0,0.894440233707428,6.99828577041626,1.3788093328475952,0.0,0.0
210,-0.005961958318948746,65.06798553466797,12.0,3.0,1.0133315324783325,-0.29535967111587524,0.9709523916244507,0.0,0.0
212,-0.005961958318948746,69.40413665771484,13.0,3.0,0.8788686990737915,0.7926679849624634,1.0650535821914673,0.0,0.0
214,-0.005813593044877052,72.20853424072266,15.0,3.0,0.8985400199890137,1.5309147834777832,1.0361888408660889,0.0,0.0
216,-0.005813593044877052,76.3486099243164,16.0,3.0,0.9362225532531738,2.761368989944458,1.1115522384643555,0.0,0.0
218,-0.001731131342239678,77.58678436279297,14.0,4.0,0.931624710559845,4.628151893615723,1.3794810771942139,0.0,0.0
220,-0.0009798541432246566,77.82551574707031,15.0,4.0,0.946186363697052,4.6117987632751465,1.1659526824951172,0.0,0.0
222,0.001012741238810122,66.9956283569336,16.0,1.0,0.8456723093986511,3.139702558517456,1.2216473817825317,0.0,0.0
224,0.009618066251277924,73.80561065673828,9.0,4.0,1.0968116521835327,5.150236129760742,1.27878999710083,0.0,0.0
226,0.010101118125021458,74.80387878417969,12.0,4.0,0.9410775899887085,7.383335590362549,1.1494208574295044,0.0,0.0
228,0.04990031197667122,72.94554901123047,14.0,2.0,0.8441717624664307,9.567950248718262,1.2074778079986572,0.0,0.0
230,-0.044535208493471146,70.20247650146484,14.0,4.0,0.8024638295173645,-3.76678729057312,1.1705900430679321,0.0,0.0
232,-0.040624503046274185,71.18077087402344,15.0,4.0,0.7629953026771545,-3.5652832984924316,1.0820070505142212,0.0,0.0
234,-0.07770033180713654,17.344928741455078,14.0,4.0,1.1629071235656738,-13.647613525390625,-0.5056212544441223,0.0,1.0
236,-0.05882294103503227,17.710920333862305,15.0,4.0,1.089787483215332,-14.315359115600586,-0.20533429086208344,0.0,1.0
238,-0.07965493202209473,67.60857391357422,17.0,3.0,1.0984594821929932,0.2408895492553711,0.9639736413955688,0.0,0.0
240,-0.10629664361476898,67.53889465332031,15.0,1.0,1.574380874633789,-0.9097646474838257,0.9578847885131836,0.0,0.0
242,-0.07116211205720901,68.1714096069336,13.0,3.0,0.9205209016799927,3.430110454559326,1.153369426727295,0.0,0.0
244,0.012057799845933914,65.24324798583984,14.0,1.0,0.4575006663799286,13.096977233886719,1.143688678741455,0.0,0.0
246,0.014087851159274578,67.62275695800781,13.0,2.0,0.4192996025085449,15.45828914642334,0.9132441878318787,0.0,0.0
248,0.014087851159274578,75.71756744384766,14.0,2.0,0.43304985761642456,17.866256713867188,1.1289023160934448,0.0,0.0
250,0.012741423211991787,73.85285186767578,17.0,2.0,1.6459225416183472,4.8499908447265625,0.9927458167076111,0.0,0.0
252,0.025208935141563416,65.72920227050781,15.0,4.0,0.8532751202583313,11.127798080444336,1.2943739891052246,0.0,0.0
254,0.036107975989580154,69.51168823242188,16.0,0.0,0.8585931658744812,9.66258716583252,1.1579735279083252,0.0,0.0
256,0.036107975989580154,67.76188659667969,17.0,0.0,0.9452363848686218,8.482394218444824,1.027573585510254,0.0,0.0
258,0.03172594681382179,70.32731628417969,8.0,1.0,0.6498751044273376,13.065315246582031,0.9452865123748779,0.0,0.0
260,-0.0011703480267897248,65.66484069824219,15.0,0.0,0.9167909622192383,0.873524010181427,1.0145893096923828,0.0,0.0
262,-0.0011703480267897248,71.29438018798828,16.0,0.0,0.9806641936302185,1.8278911113739014,1.151478886604309,0.0,0.0
264,-0.0011703480267897248,71.29438018798828,17.0,0.0,1.0330671072006226,1.7217438220977783,1.0581610202789307,0.0,0.0
266,0.0031372802332043648,74.20689392089844,15.0,1.0,0.7033071517944336,5.472373008728027,1.1329126358032227,0.0,0.0
268,0.0031372802332043648,74.31049346923828,16.0,1.0,0.7817435264587402,4.9005656242370605,1.02694833278656,0.0,0.0
270,-0.004483074881136417,19.059093475341797,16.0,1.0,0.6153405904769897,-16.38298797607422,0.005477422848343849,0.0,1.0
272,-0.022225528955459595,66.49052429199219,10.0,3.0,0.6508781909942627,-0.6332986354827881,0.9467485547065735,0.0,0.0
274,-0.019418304786086082,68.83882904052734,12.0,3.0,0.535247266292572,1.3083544969558716,0.9782809019088745,0.0,0.0
276,-0.0012919295113533735,67.73623657226562,12.0,3.0,0.9006062150001526,3.4238219261169434,0.9552869200706482,0.0,0.0
278,-0.0016318593407049775,69.76493835449219,14.0,4.0,1.122506022453308,3.7853870391845703,1.1551462411880493,0.0,0.0
280,-0.002450754167512059,68.98340606689453,16.0,3.0,1.141042709350586,4.127753734588623,1.0411103963851929,0.0,0.0
282,0.002652198076248169,66.88074493408203,14.0,2.0,0.8506534695625305,4.934943675994873,1.2153847217559814,0.0,0.0
284,0.004348080605268478,77.14354705810547,15.0,2.0,0.863237738609314,8.195261001586914,1.3840919733047485,0.0,0.0
286,0.015400572679936886,75.95586395263672,14.0,3.0,0.9467347860336304,14.751250267028809,0.9443525075912476,0.0,0.0
288,0.053186506032943726,74.64486694335938,14.0,1.0,0.5087679028511047,19.48766326904297,1.183396816253662,0.0,0.0
290,0.05689619854092598,75.08126831054688,17.0,1.0,0.8012634515762329,13.211698532104492,1.055049180984497,0.0,0.0
292,0.05000172555446625,66.8843994140625,17.0,3.0,0.9745728969573975,9.494779586791992,0.956483781337738,0.0,0.0
294,0.02329491637647152,17.015409469604492,14.0,0.0,0.9902984499931335,-7.977788925170898,-0.10250761359930038,0.0,1.0
296,-0.047433577477931976,77.18426513671875,16.0,3.0,1.1368718147277832,-1.3715322017669678,1.0861742496490479,0.0,0.0
298,-0.047433577477931976,80.00662231445312,17.0,3.0,1.1547560691833496,-0.5965792536735535,1.0889447927474976,0.0,0.0
300,-0.0030435780063271523,65.2859115600586,15.0,1.0,0.7404605150222778,5.512915134429932,0.9901773929595947,0.0,0.0
302,-0.001845356309786439,19.03252601623535,13.0,3.0,0.8102524876594543,-9.114063262939453,-0.35859182476997375,0.0,1.0
304,0.03206093981862068,72.19527435302734,16.0,2.0,1.196774959564209,9.914830207824707,0.9216569662094116,0.0,0.0
306,0.03865904361009598,75.7531967163086,14.0,3.0,0.6479539275169373,18.60840606689453,1.0026359558105469,0.0,0.0
308,0.03892405331134796,78.2552490234375,15.0,3.0,0.6299940943717957,20.249486923217773,1.0167129039764404,0.0,0.0
310,0.05975142866373062,67.33324432373047,17.0,2.0,1.064172387123108,6.340372562408447,1.1508817672729492,0.0,0.0
312,0.05811907351016998,69.44738006591797,8.0,3.0,0.6123195886611938,11.236052513122559,0.9533087015151978,0.0,0.0
314,0.05777064710855484,65.34488677978516,15.0,0.0,0.7640411257743835,6.209316730499268,1.1726021766662598,0.0,0.0
316,0.017901064828038216,73.91163635253906,16.0,0.0,0.940170168876648,0.4387129545211792,1.1600308418273926,0.0,0.0
318,0.02346402034163475,78.28285217285156,16.0,1.0,1.1197435855865479,3.2164199352264404,1.070203423500061,0.0,0.0
320,0.02690107747912407,74.68111419677734,14.0,3.0,0.806828498840332,4.585721969604492,1.2442576885223389,0.0,0.0
322,0.003016612958163023,67.55787658691406,14.0,1.0,0.6606645584106445,1.0372560024261475,1.1870214939117432,0.0,0.0
324,0.003273644717410207,73.07231903076172,15.0,1.0,0.7026435136795044,2.886317253112793,1.2466002702713013,0.0,0.0
326,0.008143782615661621,66.86351013183594,10.0,3.0,0.530997633934021,6.640563011169434,1.040453314781189,0.0,0.0
328,0.01618272066116333,73.99176788330078,14.0,4.0,0.7901336550712585,7.5764617919921875,0.9042800664901733,0.0,0.0
330,0.016684895381331444,79.33244323730469,15.0,4.0,0.7693486213684082,9.561179161071777,1.0156806707382202,0.0,0.0
332,0.016684895381331444,81.71147918701172,16.0,4.0,0.7480927109718323,10.832091331481934,1.0447196960449219,0.0,0.0
334,0.040152959525585175,79.90213775634766,15.0,0.0,0.7124330997467041,14.1201171875,1.1921861171722412,0.0,0.0
336,0.05200003832578659,82.12405395507812,10.0,1.0,0.6601770520210266,18.868959426879883,1.0033050775527954,0.0,0.0
338,-0.051500916481018066,70.07887268066406,15.0,2.0,0.9966514110565186,-0.1808619648218155,0.9595952033996582,0.0,0.0
340,0.007736432831734419,68.39373016357422,11.0,3.0,0.9821848273277283,5.151581764221191,1.0614813566207886,0.0,0.0
342,0.007736432831734419,70.50800323486328,12.0,3.0,0.9270378947257996,6.072693347930908,1.0514841079711914,0.0,0.0
344,-0.03871336206793785,66.19223022460938,15.0,2.0,0.567635178565979,-2.0798165798187256,1.1875540018081665,0.0,0.0
346,-0.041155967861413956,65.6657485961914,12.0,3.0,2.8315670490264893,-0.12763763964176178,1.0179044008255005,0.0,0.0
348,-0.03655904158949852,65.93254852294922,17.0,2.0,1.1714937686920166,1.3171907663345337,1.0881373882293701,0.0,0.0
350,-0.03151901066303253,70.54904174804688,13.0,3.0,0.610576868057251,6.444245338439941,1.308573842048645,0.0,0.0
352,-0.019343463703989983,78.8186264038086,14.0,4.0,0.8332146406173706,10.09233283996582,1.2450873851776123,0.0,0.0
354,-0.015557905659079552,80.9909896850586,15.0,4.0,0.8031909465789795,11.464889526367188,1.171872615814209,0.0,0.0
356,-0.015557905659079552,83.6280517578125,16.0,4.0,0.7971718907356262,13.04592514038086,1.1363407373428345,0.0,0.0
358,-0.015557905659079552,76.68832397460938,17.0,4.0,0.8274990916252136,11.420438766479492,0.9738836288452148,0.0,0.0
360,0.017637167125940323,82.09916687011719,13.0,1.0,1.0473880767822266,11.932394981384277,1.00893235206604,0.0,0.0
362,-0.01355757936835289,65.11296081542969,16.0,3.0,0.6905974745750427,-1.7651468515396118,1.2585701942443848,0.0,0.0
364,-0.008650337345898151,82.34504699707031,16.0,1.0,0.9763478636741638,4.317047119140625,1.473082184791565,0.0,0.0
366,0.0076654101721942425,81.53684997558594,14.0,3.0,0.6873607635498047,11.393730163574219,1.0813645124435425,0.0,0.0
368,-0.011586884967982769,75.4692153930664,8.0,3.0,0.7102481126785278,3.858126163482666,0.9918485283851624,0.0,0.0
370,-0.007137664593756199,67.74889373779297,15.0,4.0,0.7818551063537598,-0.5666056275367737,1.0438826084136963,0.0,0.0
372,-0.03649364411830902,82.52816772460938,17.0,1.0,1.0947035551071167,7.8895745277404785,1.0028343200683594,0.0,0.0
374,-0.08030242472887039,68.6502456665039,9.0,4.0,0.8511466383934021,-4.229446887969971,1.129853367805481,0.0,0.0
376,-0.07231353968381882,69.19975280761719,15.0,4.0,0.9753708839416504,-2.725465774536133,0.9516769051551819,0.0,0.0
378,-0.07692599296569824,68.88302612304688,15.0,2.0,1.4978134632110596,-2.0369207859039307,1.0505470037460327,0.0,0.0
380,-0.03108137473464012,66.82279968261719,15.0,2.0,0.7458606362342834,0.0019628480076789856,1.0701637268066406,0.0,0.0
382,-0.03108137473464012,70.76026916503906,16.0,2.0,0.7631047964096069,0.9289775490760803,1.1109085083007812,0.0,0.0
384,-0.02851482480764389,72.81842803955078,6.0,3.0,1.5539230108261108,2.4189486503601074,0.8780046701431274,0.0,0.0
386,-0.02602478489279747,77.07865905761719,7.0,3.0,1.539406180381775,3.241770029067993,0.9631027579307556,0.0,0.0
388,-0.02173803560435772,71.68273162841797,16.0,3.0,1.9838855266571045,3.3662807941436768,1.0869511365890503,0.0,0.0
390,0.012136504985392094,76.43660736083984,10.0,1.0,0.5239856243133545,9.343563079833984,1.017120122909546,0.0,0.0
392,0.01228972990065813,82.42227935791016,12.0,1.0,0.6085745096206665,10.287882804870605,1.0579878091812134,0.0,0.0
394,0.018520353361964226,67.59723663330078,12.0,1.0,0.7302675247192383,5.236632347106934,1.0632551908493042,0.0,0.0
396,0.018177999183535576,75.12354278564453,15.0,1.0,0.8199742436408997,7.610024929046631,1.2039142847061157,0.0,0.0
398,0.018177999183535576,70.50598907470703,17.0,1.0,0.8938517570495605,6.880868434906006,0.9632521271705627,0.0,0.0
400,-0.017777258530259132,71.86714172363281,16.0,3.0,0.8096295595169067,2.060473680496216,1.0071423053741455,0.0,0.0
402,-0.023442091420292854,68.97982025146484,16.0,3.0,0.8024615049362183,-0.5693090558052063,1.095594048500061,0.0,0.0
404,-0.02104135788977146,65.65470123291016,16.0,1.0,0.8850366473197937,2.526242971420288,1.093027114868164,0.0,0.0
406,-0.018364019691944122,69.7666015625,14.0,3.0,0.8057366013526917,1.6342302560806274,1.1701263189315796,0.0,0.0
408,-0.011524664238095284,73.62763214111328,16.0,4.0,1.2587796449661255,5.291178226470947,1.1085129976272583,0.0,0.0
